,,,,,,,,,,,,,,
,MONITORING ANALISA,,,LAJU DAN TARGET,,,KONDISI GROSS PROFIT,,,MONITORING LABA PRODUK,,,,
,REVENUE, Rp 41.761.070 ,,TARGET, Rp 250.000.000 ,,SELLING, Rp 41.761.070 ,,DEVISI,QTY,%,TARGET,KONDISI
,PURCHASE BAHAN, Rp 15.662.371 ,,PENCAPAIAN, Rp 41.761.070 ,,COGS, Rp 9.549.134 ,,BAR, Rp 20.184.206 ,75%,72%,3%
,OPERATIONAL EXPENSES, Rp 8.532.350 ,,MINUS, Rp -208.238.930 ,,COGS %,"22,87%",,SNACK, Rp 5.056.660 ,67%,65%,2%
,OPERATING INCOME, Rp 17.566.349 ,,HARI BERJALAN,7,,GROSS PROFIT, Rp 32.211.936 ,,KITCHEN, Rp 4.442.496 ,56%,55%,1%
,PB1, Rp 2.567.102 ,,SISA HARI,21,,GROSS %,"77,13%",,TOTAL, Rp 29.683.361 ,71%,70%,1%
,"PAJAK 0,5%", Rp 208.805 ,,AVG HARIAN, Rp 5.965.867 ,,,,,,,,,
,PAJAK SEWA, Rp 1.111.111 ,,LAJU, Rp 167.044.280 ,,REVENUE PART,,,PURCHASE CONTROLRER,,,STAFF MEALS CONTROLER,
,FIXED COST GAJI, Rp 6.250.000 ,,KONDISI LAJU,"-33,18%",,BAR,"65,62%",,BAHAN BAKU, Rp 15.662.371 ,,STAFF MEALS, Rp 751.500 
,NET INCOME, Rp 7.429.331 ,,,,,SNACK,"18,34%",,PERSENTASE,"37,50%",,BUDGET, Rp 2.800.000 
,NET INCOME %,"17,79%",,,,,FOOD,"19,55%",,TARGET,35%,,KONDISI, Rp 2.048.500 
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,DATA PURCHASE & PENGELUARAN,,,PERSENTASE,,,,,,CASH FLOW,,,,
,,,,,,,,,,,,,,
,GAS, Rp 644.000 ,,"2,66%",,,,,,KET,OMSET,POT,PENCAIRAN,BANK
,MINUMAN, Rp 9.722.400 ,,"40,18%",,,,,,SHOPEE, Rp 1.274.500 ,20%, Rp 1.019.600 ,BRI ILHAM
,FOOD, Rp 3.388.415 ,,"14,00%",,,,,,EDC, Rp 1.494.000 ,2%, Rp 1.464.120 ,BRI PT
,SNACK, Rp 2.551.556 ,,"10,55%",,,,,,GRAB, Rp 385.000 ,15%, Rp 327.250 ,MANDIRI
,STAFF MEALS, Rp 751.500 ,,"3,11%",,,,,,GOJEK, Rp 292.000 ,20%, Rp 233.600 ,MANDIRI
,KEBERSIHAN & KESEHATAN, Rp 1.906.250 ,,"7,88%",,,,,,QR, Rp 20.569.500 ,0, Rp 20.569.500 ,BRI PT
,BEBAN LAIN - LAIN, Rp 644.100 ,,"2,66%",,,,,,CASH, Rp 18.278.000 ,0, Rp 18.147.000 ,PULLING
,ONGKIR, Rp 399.000 ,,"1,65%",,,,,,TOTAL, Rp 42.293.000 ,57%, Rp 41.761.070 ,3 REKENING
,INVENTORY, Rp 52.000 ,,"0,21%",,,,,,,,,,
,RND, Rp 117.500 ,,"0,49%",,,,,,SALDO TEH TARIK 88,,,,
,MAINTENANCE, Rp 400.000 ,,"1,65%",,,,,,BRI ILHAM, Rp 1.019.600 ,,,
,MARKETING, Rp -   ,,"0,00%",,,,,,BRI PT, Rp 22.033.620 ,,,
,CASUAL, Rp 3.415.000 ,,"14,11%",,,,,,MANDIRI, Rp 560.850 ,,,
,GAJI, Rp -   ,,"0,00%",,,,,,CASH, Rp 18.147.000 ,,,
,LISTRIK AIR, Rp 203.000 ,,"0,84%",,,,,,,,,,
,TOTAL, Rp 24.194.721 ,,"100,00%",,,,,,TOTAL, Rp 41.761.070 ,,,
